segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
55,580,442,602,389,591.0,415.5,57.38466694161429,67.45693899994212,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
300,573,429,578,404,575.5,416.5,25.495097567963924,78.69006752597979,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
236,579,401,588,432,583.5,416.5,32.28002478313795,106.18920625702694,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
84,584,430,605,403,594.5,416.5,34.20526275297414,52.1250163489018,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
78,589,435,590,401,589.5,418.0,34.0147027033899,88.31531568210372,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
121,525,417,531,437,528.0,427.0,20.8806130178211,106.69924423399361,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
135,563,467,591,385,577.0,426.0,86.64871608973787,71.1468412355809,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
131,562,440,574,414,568.0,427.0,28.635642126552707,65.22485943116808,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
200,570,413,572,442,571.0,427.5,29.068883707497267,93.94518622903756,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
3,569,413,580,444,574.5,428.5,32.89376840679705,109.5366549381284,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
260,566,433,598,425,582.0,429.0,32.984845004941285,14.036243467926479,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
171,617,437,627,419,622.0,428.0,20.591260281974,60.94539590092286,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
62,581,442,581,420,581.0,431.0,22.0,90.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
287,555,425,569,452,562.0,438.5,30.4138126514911,117.40757543781841,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
149,491,457,500,434,495.5,445.5,24.698178070456937,68.62937773065681,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
1,563,475,571,414,567.0,444.5,61.5223536610881,82.52844082340762,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
164,496,466,501,437,498.5,451.5,29.427877939124322,80.21759296819272,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
69,555,465,562,436,558.5,450.5,29.832867780352597,76.42956561483852,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
302,438,445,459,468,448.5,456.5,31.144823004794873,132.39743779750017,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
140,559,441,571,465,565.0,453.0,26.832815729997478,116.56505117707799,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
96,506,463,522,447,514.0,455.0,22.627416997969522,45.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
253,560,471,563,439,561.5,455.0,32.14031735997639,84.64417495714481,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
74,510,475,519,446,514.5,460.5,30.364452901377952,72.75854060106002,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
222,365,461,381,476,373.0,468.5,21.93171219946131,136.8476102659946,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
80,453,457,470,479,461.5,468.0,27.80287754891569,127.69424046668917,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
229,506,461,520,489,513.0,475.0,31.304951684997057,116.56505117707799,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
